Model,MSE,RMSE,MAE,RMSLE,R2,rows
year_2024,84249208599.57832,290257.1422025276,162789.7906102686,0.1874870915806348,0.8438660279743758,15133
year_2025,106556876193.42108,326430.50744901446,197283.8733738281,0.21270214306672558,0.8087216648765685,14966
Previously observed before purge,79776753878.02354,282447.78964973957,166118.3038267843,0.17992164844955644,0.8508627294095535,19045
First appearance in 2024-2025,122157156254.85797,349509.8800532797,203756.581675122,0.23152176835252686,0.7858506166900229,11054
