,DeletionAUC,InsertionAUC,Comprehensiveness,Infidelity,Runtime_s
kernelshap,0.08465675300636977,0.9237885510076482,0.8771944747137367,0.9285679384102805,1.648232893149058
samplingshap,0.055114155716647885,0.943408971304685,0.973980356648709,0.921623940248184,1.0558414618174234
lime,0.030932245969900754,1.0255590194240551,1.0014051311128924,1.4478184975949469,0.33598144054412843
occlusion,0.04070920367533684,0.9758244469584644,1.0377651362315634,1.9305936360451688,0.024685231844584148
treeshap,0.09037870017418419,0.9063432527889534,0.8857157338091243,9.06594196871426,0.17708937724431356
consensus,0.0010807414612919498,0.9887837953084316,1.089931791968589,1.0222868053996659,3.064741027355194
