Model,MSE,RMSE,MAE,RMSLE,R2
Convex-Weighted Blend Ensemble,95341156943.6911,308773.63382207864,179941.13924774597,0.2004215854846467,0.8261165357368401
LightGBM,97769171535.85384,312680.62225832586,181263.23508679465,0.2019513575258209,0.8216883160455675
XGBoost,97546580228.35052,312324.47907320765,181815.39207198663,0.2021513299222467,0.8220942786844141
HistGradientBoosting,103726221541.57686,322065.5547269482,188718.22466643617,0.2067671287846275,0.810823831860676
CatBoost,106032837130.90028,325626.8372399614,194263.4021636331,0.2113186639626335,0.8066170200046813
Random Forest,126455222794.14392,355605.43133386463,223712.7518747897,0.2370268187804477,0.7693706168616987
Multiple Linear Regression,427103629348.18445,653531.6590251649,464703.1900654518,0.4654487384485184,0.2210472260757973
Simple Linear Regression,632408572239.049,795241.2038111764,529032.4940083955,0.5360426489054542,-0.15338849344560312
