boot_deletion,boot_infidelity
-0.3571428571428572,0.9642857142857145
-0.07142857142857144,0.8928571428571429
-0.10714285714285716,1.0
-0.21428571428571433,0.9642857142857145
0.10714285714285716,0.8571428571428573
-0.1785714285714286,0.8571428571428573
-0.07142857142857144,0.9642857142857145
-0.6071428571428572,0.9285714285714288
-0.42857142857142866,0.9642857142857145
-0.07142857142857144,0.9285714285714288
-0.1785714285714286,0.9285714285714288
-0.28571428571428575,0.9642857142857145
0.14285714285714288,1.0
0.4642857142857144,0.9642857142857145
-0.3214285714285715,1.0
0.14285714285714288,1.0
0.28571428571428575,0.8928571428571429
0.3571428571428572,0.9285714285714288
0.25,0.8928571428571429
-0.14285714285714288,0.9642857142857145
0.5714285714285715,0.8214285714285715
0.21428571428571433,0.9642857142857145
0.07142857142857144,0.9285714285714288
0.07142857142857144,0.8928571428571429
-0.14285714285714288,0.9642857142857145
0.1785714285714286,0.8928571428571429
0.642857142857143,0.8571428571428573
-0.25,0.9642857142857145
-0.5357142857142858,1.0
0.42857142857142866,0.9642857142857145
-0.39285714285714296,0.7500000000000002
-0.07142857142857144,0.8571428571428573
0.39285714285714296,0.9285714285714288
-0.5714285714285715,0.9642857142857145
0.6071428571428572,0.9285714285714288
0.1785714285714286,0.9642857142857145
-0.25,0.9642857142857145
0.4642857142857144,0.9642857142857145
-0.5357142857142858,0.8214285714285715
-0.07142857142857144,0.9642857142857145
-0.03571428571428572,1.0
-0.10714285714285716,0.8928571428571429
0.5357142857142858,0.9642857142857145
-0.1785714285714286,0.8571428571428573
-0.21428571428571433,0.9642857142857145
0.3571428571428572,0.9642857142857145
0.3214285714285715,0.8928571428571429
-0.4642857142857144,0.7500000000000002
-0.39285714285714296,0.9642857142857145
0.28571428571428575,0.8214285714285715
-0.5357142857142858,0.8571428571428573
0.28571428571428575,0.9642857142857145
0.03571428571428572,0.9642857142857145
-0.3571428571428572,0.9642857142857145
-0.3571428571428572,1.0
-0.21428571428571433,1.0
0.1785714285714286,0.9642857142857145
0.3571428571428572,0.8928571428571429
0.14285714285714288,0.8571428571428573
0.0,1.0
0.3214285714285715,0.9642857142857145
-0.4642857142857144,1.0
-0.7500000000000002,1.0
-0.4642857142857144,0.9642857142857145
0.07142857142857144,0.9642857142857145
0.03571428571428572,0.8928571428571429
0.10714285714285716,0.9642857142857145
0.4642857142857144,0.8928571428571429
0.03571428571428572,0.9642857142857145
-0.3214285714285715,0.9642857142857145
0.5,0.9285714285714288
-0.28571428571428575,0.9642857142857145
0.07142857142857144,0.9642857142857145
0.0,0.8571428571428573
0.1785714285714286,0.8928571428571429
0.0,1.0
-0.8571428571428573,0.8214285714285715
0.21428571428571433,0.9642857142857145
-0.10714285714285716,0.9642857142857145
-0.03571428571428572,1.0
0.0,0.9642857142857145
0.3214285714285715,0.8214285714285715
-0.10714285714285716,0.9285714285714288
0.3214285714285715,0.8571428571428573
-0.14285714285714288,0.9285714285714288
-0.07142857142857144,0.8928571428571429
-0.7142857142857144,1.0
0.3214285714285715,1.0
0.07142857142857144,0.9642857142857145
0.1785714285714286,0.9642857142857145
-0.07142857142857144,0.9642857142857145
-0.1785714285714286,0.9285714285714288
0.07142857142857144,0.8928571428571429
0.10714285714285716,0.8214285714285715
0.1785714285714286,0.9642857142857145
0.1785714285714286,0.9642857142857145
0.5714285714285715,0.9642857142857145
0.3214285714285715,0.9285714285714288
0.07142857142857144,0.9642857142857145
0.42857142857142866,0.9642857142857145
0.07142857142857144,0.8571428571428573
-0.10714285714285716,0.9642857142857145
-0.4642857142857144,0.9642857142857145
-0.25,0.9642857142857145
0.42857142857142866,0.9642857142857145
-0.28571428571428575,0.9285714285714288
0.5,0.8571428571428573
-0.10714285714285716,0.9285714285714288
0.10714285714285716,0.8571428571428573
-0.39285714285714296,0.9642857142857145
-0.14285714285714288,0.9642857142857145
0.7500000000000002,0.9642857142857145
-0.10714285714285716,0.8928571428571429
-0.25,0.9642857142857145
-0.5357142857142858,0.9642857142857145
-0.03571428571428572,0.9642857142857145
-0.14285714285714288,0.9642857142857145
-0.10714285714285716,0.9285714285714288
0.0,0.8571428571428573
-0.10714285714285716,0.8928571428571429
-0.21428571428571433,0.9642857142857145
-0.5,0.9642857142857145
-0.5,1.0
-0.21428571428571433,0.9642857142857145
-0.25,0.8928571428571429
-0.3214285714285715,1.0
-0.14285714285714288,0.9285714285714288
-0.3214285714285715,0.9642857142857145
0.39285714285714296,0.9642857142857145
0.42857142857142866,0.9642857142857145
-0.03571428571428572,0.9285714285714288
0.07142857142857144,0.8928571428571429
-0.03571428571428572,0.9285714285714288
0.4642857142857144,0.9642857142857145
0.07142857142857144,0.8571428571428573
0.5357142857142858,0.9642857142857145
-0.1785714285714286,0.8928571428571429
0.14285714285714288,0.8928571428571429
-0.28571428571428575,1.0
-0.5,0.9642857142857145
-0.39285714285714296,0.8928571428571429
-0.14285714285714288,1.0
0.07142857142857144,0.9285714285714288
0.28571428571428575,0.9642857142857145
-0.7142857142857144,0.9642857142857145
0.28571428571428575,0.7857142857142859
-0.5714285714285715,0.8928571428571429
-0.28571428571428575,1.0
0.21428571428571433,0.9642857142857145
-0.7142857142857144,0.8571428571428573
-0.28571428571428575,0.9642857142857145
-0.07142857142857144,0.9642857142857145
0.42857142857142866,0.9642857142857145
0.21428571428571433,0.9642857142857145
-0.10714285714285716,0.8571428571428573
-0.39285714285714296,0.8571428571428573
-0.3571428571428572,0.9642857142857145
0.3214285714285715,0.9285714285714288
0.03571428571428572,1.0
-0.21428571428571433,0.8928571428571429
-0.07142857142857144,0.9642857142857145
-0.14285714285714288,0.9642857142857145
-0.4642857142857144,0.8214285714285715
-0.14285714285714288,0.9285714285714288
0.07142857142857144,0.9642857142857145
-0.21428571428571433,0.9642857142857145
0.03571428571428572,0.9285714285714288
-0.21428571428571433,1.0
-0.4642857142857144,1.0
0.4642857142857144,0.8928571428571429
-0.39285714285714296,1.0
0.5357142857142858,0.9642857142857145
0.7142857142857144,0.9642857142857145
0.6071428571428572,0.9285714285714288
-0.1785714285714286,0.9285714285714288
0.6071428571428572,0.9285714285714288
-0.3214285714285715,0.9642857142857145
-0.14285714285714288,0.8928571428571429
-0.21428571428571433,1.0
-0.03571428571428572,0.8571428571428573
0.3214285714285715,0.9642857142857145
0.0,0.9642857142857145
0.0,0.9285714285714288
-0.4642857142857144,0.9642857142857145
-0.10714285714285716,0.9642857142857145
0.1785714285714286,0.9285714285714288
0.4642857142857144,0.8928571428571429
0.10714285714285716,0.9642857142857145
-0.21428571428571433,0.9642857142857145
0.07142857142857144,0.9642857142857145
-0.07142857142857144,0.8571428571428573
0.5357142857142858,0.8571428571428573
0.8214285714285715,1.0
-0.07142857142857144,0.9642857142857145
0.0,0.9642857142857145
0.14285714285714288,0.8571428571428573
-0.3571428571428572,0.9642857142857145
-0.6071428571428572,0.9642857142857145
-0.07142857142857144,0.8571428571428573
0.5357142857142858,0.8928571428571429
-0.03571428571428572,0.9285714285714288
-0.21428571428571433,1.0
0.10714285714285716,0.8928571428571429
0.5714285714285715,0.7500000000000002
0.03571428571428572,1.0
0.7142857142857144,0.8571428571428573
-0.21428571428571433,0.8928571428571429
-0.42857142857142866,0.8214285714285715
0.42857142857142866,0.8928571428571429
-0.6785714285714287,0.9285714285714288
-0.4642857142857144,0.9642857142857145
0.10714285714285716,1.0
0.7142857142857144,0.9285714285714288
-0.42857142857142866,0.9285714285714288
0.14285714285714288,0.9642857142857145
-0.14285714285714288,0.9285714285714288
-0.3571428571428572,0.8928571428571429
-0.6785714285714287,1.0
-0.03571428571428572,0.9642857142857145
0.39285714285714296,0.8928571428571429
-0.21428571428571433,0.9285714285714288
-0.10714285714285716,0.9642857142857145
-0.42857142857142866,1.0
-0.07142857142857144,0.8571428571428573
-0.14285714285714288,0.8928571428571429
-0.14285714285714288,0.8928571428571429
-0.3571428571428572,1.0
-0.4642857142857144,0.9642857142857145
0.39285714285714296,0.8571428571428573
