iter	RMSE
0	0.3806781117
1	0.3686101733
2	0.3575773855
3	0.3471388016
4	0.3378181558
5	0.3281176362
6	0.3191386616
7	0.3104201816
8	0.3030480961
9	0.2954954603
10	0.2878180872
11	0.2803896245
12	0.2734352127
13	0.2673663418
14	0.2610334792
15	0.2553051409
16	0.2497279609
17	0.2445239719
18	0.239615419
19	0.2351384309
20	0.2305682818
21	0.2260118023
22	0.2219146131
23	0.2179888107
24	0.2143395875
25	0.2104897353
26	0.2071288324
27	0.2041902146
28	0.201015757
29	0.1981438789
30	0.1950839809
31	0.1926856591
32	0.1900722763
33	0.1875264947
34	0.1851945053
35	0.1830349462
36	0.1810205571
37	0.1790746529
38	0.1770962594
39	0.1753060805
40	0.1734279888
41	0.1718103555
42	0.1699941883
43	0.1684500388
44	0.167098508
45	0.1652208137
46	0.1640354183
47	0.1627491028
48	0.1613960809
49	0.1600031499
50	0.1587679973
51	0.1576644465
52	0.1564803556
53	0.1555435114
54	0.1546357243
55	0.1534532514
56	0.1525329401
57	0.1516279598
58	0.1506047046
59	0.1493188265
60	0.1485473198
61	0.1477436689
62	0.1468220442
63	0.1462087554
64	0.1453666882
65	0.1446759672
66	0.1439385392
67	0.1435017991
68	0.142847596
69	0.1422334032
70	0.1416168396
71	0.1409292808
72	0.1402629345
73	0.1394397283
74	0.1388253206
75	0.1383328395
76	0.1378291174
77	0.1371873268
78	0.1365059825
79	0.1359111049
80	0.1353385247
81	0.1350001784
82	0.134441539
83	0.133954102
84	0.1334743902
85	0.1329377335
86	0.1325716396
87	0.1321483281
88	0.1315367143
89	0.1310656698
90	0.1306172531
91	0.1299805019
92	0.1297420805
93	0.1293477753
94	0.1289896199
95	0.1286450816
96	0.1281172967
97	0.127817447
98	0.1275454368
99	0.1272332651
100	0.1267763225
101	0.1265935466
102	0.1263568174
103	0.1260333122
104	0.1258049285
105	0.1255184758
106	0.1252838288
107	0.1250297991
108	0.1248945715
109	0.1245360248
110	0.1242850388
111	0.1239290646
112	0.1237677816
113	0.123492474
114	0.123277365
115	0.1228022457
116	0.1225749822
117	0.1223215484
118	0.1220306504
119	0.1217627297
120	0.1215471195
121	0.1213303168
122	0.1211219973
123	0.1208660287
124	0.1206992248
125	0.1204839131
126	0.1203308101
127	0.1199369574
128	0.119864599
129	0.1197032444
130	0.1194667679
131	0.1193196711
132	0.119030848
133	0.1188795367
134	0.1186112536
135	0.1182938549
136	0.1180435963
137	0.1178671675
138	0.1177001959
139	0.1174014921
140	0.1173469752
141	0.1172332235
142	0.1171377272
143	0.1167546983
144	0.1166613004
145	0.1165226001
146	0.1163180426
147	0.1159321497
148	0.115766908
149	0.1155773643
150	0.1153874971
151	0.11526812
152	0.1148077301
153	0.1145890953
154	0.1144423654
155	0.1141770419
156	0.1138305416
157	0.1136921589
158	0.1133672906
159	0.1132709984
160	0.1131304333
161	0.1128598305
162	0.1127686025
163	0.1125224589
164	0.1123540389
165	0.1122034926
166	0.1120570077
167	0.1118895387
168	0.1117498015
169	0.1115794667
170	0.1115124082
171	0.1113938644
172	0.1112064891
173	0.1110285
174	0.1108902905
175	0.1107325776
176	0.1105283843
177	0.1104398192
178	0.1101250399
179	0.1099681325
180	0.1096322526
181	0.1095624881
182	0.1092225883
183	0.1090671515
184	0.1090111987
185	0.1089404577
186	0.1087732125
187	0.1086174016
188	0.1084905491
189	0.1084078229
190	0.1083087679
191	0.1082380324
192	0.1079756393
193	0.1077831695
194	0.1075213007
195	0.1072094337
196	0.1071388966
197	0.1070553225
198	0.1068183574
199	0.1067114412
200	0.1064324497
201	0.1062724811
202	0.1061625829
203	0.1058738878
204	0.1057964088
205	0.1057028059
206	0.1055291175
207	0.1053984505
208	0.1052802734
209	0.1052097403
210	0.1050864436
211	0.1048666933
212	0.1047703677
213	0.1046508777
214	0.1045116446
215	0.1042869393
216	0.1041206682
217	0.1039122473
218	0.103792857
219	0.103620054
220	0.1034504933
221	0.1032860494
222	0.1031703254
223	0.1030395313
224	0.1029469098
225	0.1028176124
226	0.1026371266
227	0.102462596
228	0.1023282385
229	0.1022607006
230	0.1021769818
231	0.1018793354
232	0.1017327079
233	0.1015826602
234	0.1014134567
235	0.1012540671
236	0.1009612316
237	0.1007521879
238	0.1004782285
239	0.1002970695
240	0.1001083982
241	0.1000529043
242	0.09996776684
243	0.09979738268
244	0.0997232453
245	0.09962851709
246	0.09945795089
247	0.09927467993
248	0.09915175722
249	0.09897820583
250	0.09876205813
251	0.09858590151
252	0.09839273453
253	0.09820490303
254	0.09807195019
255	0.09785895517
256	0.0977176031
257	0.09761520459
258	0.09744484548
259	0.09729881268
260	0.09716695265
261	0.09694561137
262	0.09684724102
263	0.09674607972
264	0.09655302269
265	0.09640674923
266	0.09626246883
267	0.09615451989
268	0.09606329196
269	0.09593947141
270	0.09573067838
271	0.09566110572
272	0.0954960439
273	0.09534464825
274	0.09521710179
275	0.0951374125
276	0.09500485092
277	0.09488696453
278	0.09483736772
279	0.09468582383
280	0.09453975832
281	0.09448475249
282	0.09440742805
283	0.09428297105
284	0.09410333842
285	0.09397664654
286	0.09378589533
287	0.09356076993
288	0.09339343553
289	0.09318912434
290	0.09313097973
291	0.09308372671
292	0.09298378359
293	0.09287340919
294	0.09271230287
295	0.0926379988
296	0.09245028115
297	0.09225119613
298	0.09208135758
299	0.09200201043
300	0.09180821624
301	0.09156141162
302	0.09152057554
303	0.09144816309
304	0.09131847769
305	0.0912509939
306	0.09116316075
307	0.09100975612
308	0.09097307002
309	0.09082753627
310	0.09065534393
311	0.09050206955
312	0.0903551637
313	0.09029899658
314	0.09005260366
315	0.08987151345
316	0.08975380428
317	0.08971842946
318	0.089566587
319	0.08946746135
320	0.08939722097
321	0.08933100692
322	0.08914758935
323	0.08894216841
324	0.08888490968
325	0.08875483459
326	0.08865917729
327	0.08857418379
328	0.08840178053
329	0.08824635823
330	0.08816879235
331	0.08798742522
332	0.08790141805
333	0.08785402535
334	0.08781934814
335	0.0876750091
336	0.08755532238
337	0.08746302407
338	0.08724265629
339	0.08721110921
340	0.08707291053
341	0.08691760065
342	0.0868668733
343	0.08676359152
344	0.08666881095
345	0.08662677026
346	0.08649172146
347	0.08645746445
348	0.08627994995
349	0.08615986634
350	0.08613237164
351	0.0859894914
352	0.08579352879
353	0.08570453241
354	0.08557894173
355	0.08548100612
356	0.08536594421
357	0.08520658453
358	0.08509190818
359	0.08501232594
360	0.08491235956
361	0.08480698343
362	0.08473714001
363	0.08464218569
364	0.08456733499
365	0.08449664832
366	0.08442297197
367	0.08421124471
368	0.08410888802
369	0.08398492305
370	0.08389261683
371	0.08382376883
372	0.08373147285
373	0.08370122618
374	0.08363472961
375	0.08354227455
376	0.08342654684
377	0.08331367237
378	0.08322558132
379	0.08308538911
380	0.08294524794
381	0.08292517935
382	0.08286063503
383	0.08275001902
384	0.08263072262
385	0.08250531739
386	0.0824151215
387	0.08232283486
388	0.0822183089
389	0.08216140952
390	0.0820690615
391	0.08196690695
392	0.08180050743
393	0.08171870408
394	0.08159851145
395	0.08158322819
396	0.08150831076
397	0.08142681669
398	0.08141218912
399	0.08127914959
