method,del_M,del_OM,inf_M,inf_OM
kernelshap,0.3326777236011834,0.764159254482657,8.780701377388167,13.988120951109826
samplingshap,0.39480547509112696,0.8378224877080138,7.324529696730974,29.458204436678
lime,0.4965004820841578,0.8939429670619929,9.648535924706318,29.73824823143492
occlusion,0.3998183674284174,0.20193967353947362,10.340030665701894,28.204154857860278
treeshap,0.3726782304514395,0.9967416200196085,12.656575861706303,34.552658513658876
consensus,0.4076636875659509,0.6438006741067731,4.718665822931856,15.194669582808574
