parameter,metric,min_corr,max_corr,range,mean_ci_width
n_points,deletion,0.04994285714285715,0.37028571428571433,0.32034285714285715,1.324285714285714
n_points,infidelity,0.8274285714285715,0.9696000000000001,0.14217142857142862,0.3619047619047618
mask_frac,deletion,0.37028571428571433,0.37828571428571434,0.008000000000000007,1.123809523809524
mask_frac,infidelity,0.9513142857142858,0.9696000000000001,0.01828571428571435,0.20952380952380945
bg_size,deletion,-0.06445714285714285,0.39851428571428577,0.4629714285714286,1.2190476190476192
bg_size,infidelity,0.9517714285714287,0.9696000000000001,0.017828571428571416,0.22857142857142843
